Be true to;friendship
The ornament of a house is the friends who frequent it.;friendship
A friend is someone who helps you up when you’re down, and if they can’t, they lay down beside you and listen.;friendship
A friend is someone who gives you;friendship
Friendship is a sheltering tree.;friendship
I don't like that man. I must get to know him better.;friendship
It’s not what we have, but who we have.;friendship
A friend is someone who knows all about you and still loves you.;friendship
I have learned that to be with those I like is enough. Walt Whitman;friendship
Good friends are hard to find, harder to leave and impossible to forget.;friendship
The language of friendship is not words but meanings.;friendship
There are no strangers here; Only friends you haven't yet met.;friendship
Friendship is not about whom you know the longest. It is about who came and never left.;friendship
I would rather walk with a friend in the dark, than alone in the light.;friendship
How distant I am from people when I am with them, and how close when they are far away.;friendship
Friendship consists in forgetting what one gives and remembering what one receives.;friendship
Stay is a charming word in a friendship vocabulary.;friendship
Friendship is the inexpressible comfort of feeling safe with a person, having neither to weigh thoughts nor measure words.;friendship
My definition of a friend is somebody who adores you even though they know the things you're most ashamed of.;friendship
Man's best support is a very dear friend.;friendship
Some people go to priests; others to poetry; I to my friends.;friendship
The real test of friendship is can you literally do nothing with the other person? Can you enjoy those moments of life that are utterly simple?;friendship
Sometimes being a friend means mastering the art of timing. There is a time for silence. A time to let go and allow people to hurl themselves into their own destiny. And a time to prepare to pick up the pieces when it’s all over.;friendship
Let there be no purpose in friendship save the deepening of the spirit.;friendship
Friendship with oneself is all-important, because without it one cannot be friends with anyone else in the world.;friendship
A friend is one of the nicest things you can have and one of the best things you can be.;friendship
Friendship at first sight, like love at first sight, is said to be the only truth.;friendship
Many people will walk in and out of your life, but only true friends will leave footprints in your heart.;friendship
A good friend is like a four-leaf clover; hard to find and lucky to have.;friendship
A man's friendships are one of the best measures of his worth.;friendship
The friendship which can cease has never been real.;friendship
Friendship is the only cement that will ever hold the world together.;friendship
Friendship is like money, easier made than kept.;friendship
Friendship is not always the sequel of obligation.;friendship
Friendship is what gets you through the bad times and helps you enjoy the good times.;friendship
Friendship is the hardest thing in the world to explain. It's not something you;friendship
Friendship isn't about who you've known the longest, it's about who walked in to your life, said I'm here for you, and proved it.;friendship
Friendship is a plant of slow growth and must undergo and withstand the shocks of adversity before it is entitled to the appellation.;friendship
Friendship is something that creates equality and mutuality, not a reward for finding equality or a way of intensifying existing mutuality.;friendship
Friendship is the source of the greatest pleasures, and without friends even the most agreeable pursuits becomeious.;friendship
Friendship is always a sweet responsibility, never an opportunity.;friendship
The best thing to hold onto in life is each other.;friendship
Do I not destroy my enemies when I make them my friends?;friendship
If you have one true friend you have more than your share.;friendship
Of all possessions a friend is the most precious.;friendship
We cannot hope to only leave our children a bigger car, a bigger bank account. We must hope to give them a sense of what it means to be a loyal friend.;friendship
A friend to all is a friend to none.;friendship
Be slow to fall into friendship, but when thou art in, continue firm and constant.;friendship
Never contract friendship with a man that is not better than thyself.;friendship
Constant use had not worn ragged the fabric of their friendship.;friendship
Good friends, good books and a sleepy conscience: this is the ideal life.;friendship
I get by with a little help from my friends.;friendship
A friend is one soul abiding in two bodies.;friendship
Life is nothing without friendship.;friendship
True friendships are eternal.;friendship
Friends are the family you choose.;friendship
Friendship = vulnerability * time.;friendship
No friendship is an accident.;friendship
Truth springs from argument amongst friends.;friendship
Love is friendship on fire.;friendship
Remember, no man is a failure who has friends.;friendship
Between friends, words are optional.;friendship
Though friendship is not quick to burn, it is explosive stuff.;friendship
Keep the ones that heard you when you never said a word.;friendship
A friend is a gift you give yourself.;friendship
There cannot be friendship without equality.;friendship
The ideal friendship is to feel as one while remaining two.;friendship
The best mirror is an old friend. George Herbert;friendship
Friendship is essentially a partnership.;friendship
There are no rules for friendship. It must be left to itself.;friendship
My friends are my estate. Emily Dickinson;friendship
The secret to friendship is being a good listener.;friendship
Friends are proved by adversity.;friendship
Friendships are discovered rather than made.;friendship
The best cure for a bad day is a good friend.;friendship
Rare as is true love, true friendship is rarer.;friendship
No one is useless in this world who lightens the burdens of another.;friendship
You can't shake hands with a clenched fist.;friendship
Wishing to be friends is quick work, but friendship is a slow ripening fruit.;friendship
Friendship is more than being there for your friends when they need you, it’s also allowing your friends to be there for you.;friendship
A real friend is one who walks in when the rest of the world walks out.;friendship
A friend is one that knows you as you are, understands where you have been, accepts what you have become, and still, gently allows you to grow.;friendship
One measure of friendship consists not in the number of things friends can discuss, but in the number of things they need no longer mention.;friendship
We live, in fact, in a world starved for solitude, silence, and private: and therefore starved for meditation and true friendship.;friendship
If you make friends with yourself you will never be alone.;friendship
When was the last time you asked your friend how he/she was doing?;friendship
As soon as I saw you, I knew an adventure was going to happen.;friendship
If there ever comes a day when we can’t be together, keep me in your heart, I’ll stay there forever.;friendship
When you want to help people, you tell them the truth.;friendship
Friends they cherish one another’s hopes. They are kind to one another’s dreams.;friendship
Do not save your loving speeches for your friends till they are dead; Do not write them on their tombstones, speak them rather now instead.;friendship
Each friend represents a world in us, a world possibly not born until they arrive, and it is only by this meeting that a new world is born.;friendship
Friendship is the shadow of the evening, which strengthens with the setting sun of life.;friendship
One friend in a storm is worth more than a thousand friends in sunshine.;friendship
The rule of friendship means there should be mutual sympathy between them, each supplying what the other lacks and trying to benefit the other, always using friendly and sincere words.;friendship
There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.;friendship
To go against the dominant thinking of your friends, of most of the people you see every day, is perhaps the most difficult act of heroism you can perform.;friendship
